"date","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_new","hospitalized_accumulated","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week"
2021-01-27,16795,6011,90818,30658,25420,10388,100773,4003,72887,2715421,1552064,7582,470914,242430,214272,104927,37095,34632.9,16445,14989.6,567,0.8,579.7,479.3,3355
2021-01-28,14142,5943,91303,30196,25431,10392,101365,4087,73397,2747883,1568375,4843,468650,235613,213161,103154,32462,33659,16311,14736.3,510,0.7,535.3,487.6,3413
2021-01-29,14136,5271,91770,21982,25094,10459,101968,4199,73937,2782922,1583454,4895,466022,228865,209806,98905,35039,32695,15079,14129.3,540,0.7,539,497.9,3485
2021-01-30,13336,1878,91848,22274,25329,10372,99553,4003,74404,2808926,1589865,4954,464731,227749,207871,97080,26004,32535.6,6411,13868.6,467,0.6,505.7,511.1,3578
2021-01-31,7393,1556,91876,29750,26195,10307,99880,4061,74802,2827695,1593939,4977,464935,224648,205862,95270,18769,32092.6,4074,13610,398,0.5,468.3,522,3654
2021-02-01,10544,7251,92426,29069,26397,10513,103274,4318,75449,2857063,1609174,5029,460487,216256,199064,90117,29368,30893.7,15235,12873.9,647,0.9,504,522.6,3658
2021-02-02,13129,4032,93045,28771,25701,10666,103916,4284,76018,2884717,1620912,5084,452448,206391,192143,85293,27654,29484.4,11738,12184.7,569,0.8,538,528.3,3698
2021-02-03,9988,4254,93585,20733,24882,10584,104440,4293,76512,2909963,1632359,5197,436972,194542,185222,80295,25246,27791.7,11447,11470.7,494,0.6,570,517.9,3625
2021-02-04,9246,2660,93993,27690,24328,10640,104964,4066,77017,2934272,1641565,5245,422002,186389,176344,73190,24309,26627,9206,10455.7,505,0.7,522.7,517.1,3620
2021-02-05,10271,3273,94420,20018,23329,10676,105480,4215,77589,2960040,1653026,5269,405983,177118,168477,69572,25768,25302.6,11461,9938.9,572,0.7,523.7,521.7,3652
2021-02-06,6198,1165,94442,19744,22504,10610,102814,3975,78006,2977613,1656756,5311,396436,168687,163971,66891,17573,24098.1,3730,9555.9,417,0.5,498,514.6,3602
2021-02-07,4057,976,94449,25996,23027,10550,103071,3956,78317,2987165,1659119,5344,384118,159470,160450,65180,9552,22781.4,2363,9311.4,311,0.4,433.3,502.1,3515
