,ccaa,fallecidos,fecha
615,Castilla y León,1953,18/5/2020
616,Cataluña,5956,18/5/2020
617,Ceuta,4,18/5/2020
618,C. Valenciana,1370,18/5/2020
619,Extremadura,500,18/5/2020
620,Galicia,607,18/5/2020
621,Madrid,8863,18/5/2020
622,Melilla,2,18/5/2020
623,Murcia,145,18/5/2020
624,Navarra,503,18/5/2020
625,País Vasco,1466,18/5/2020
626,La Rioja,351,18/5/2020
627,Andalucía,1358,19/5/2020
628,Aragón,843,19/5/2020
629,Asturias,303,19/5/2020
630,Baleares,219,19/5/2020
631,Canarias,155,19/5/2020
632,Cantabria,208,19/5/2020
633,Castilla La Mancha,2900,19/5/2020
634,Castilla y León,1960,19/5/2020
635,Cataluña,5981,19/5/2020
636,Ceuta,4,19/5/2020
637,C. Valenciana,1370,19/5/2020
638,Extremadura,504,19/5/2020
639,Galicia,607,19/5/2020
640,Madrid,8894,19/5/2020
641,Melilla,2,19/5/2020
642,Murcia,145,19/5/2020
643,Navarra,503,19/5/2020
644,País Vasco,1470,19/5/2020
645,La Rioja,352,19/5/2020
646,Andalucía,1371,20/5/2020
647,Aragón,843,20/5/2020
648,Asturias,304,20/5/2020
649,Baleares,221,20/5/2020
650,Canarias,155,20/5/2020
651,Cantabria,209,20/5/2020
652,Castilla La Mancha,2913,20/5/2020
653,Castilla y León,1960,20/5/2020
654,Cataluña,6021,20/5/2020
655,Ceuta,4,20/5/2020
656,C. Valenciana,1378,20/5/2020
657,Extremadura,504,20/5/2020
658,Galicia,607,20/5/2020
659,Madrid,8912,20/5/2020
660,Melilla,2,20/5/2020
661,Murcia,148,20/5/2020
662,Navarra,503,20/5/2020
663,País Vasco,1480,20/5/2020
664,La Rioja,353,20/5/2020
665,Andalucía,1375,21/5/2020
666,Aragón,848,21/5/2020
667,Asturias,307,21/5/2020
668,Baleares,221,21/5/2020
669,Canarias,155,21/5/2020
670,Cantabria,209,21/5/2020
671,Castilla La Mancha,2919,21/5/2020
672,Castilla y León,1960,21/5/2020
673,Cataluña,6021,21/5/2020
674,Ceuta,4,21/5/2020
675,C. Valenciana,1383,21/5/2020
676,Extremadura,505,21/5/2020
677,Galicia,608,21/5/2020
678,Madrid,8931,21/5/2020
679,Melilla,2,21/5/2020
680,Murcia,149,21/5/2020
681,Navarra,506,21/5/2020
682,País Vasco,1483,21/5/2020
683,La Rioja,354,21/5/2020
684,Andalucía,1377,22/5/2020
685,Aragón,858,22/5/2020
686,Asturias,307,22/5/2020
687,Baleares,222,22/5/2020
688,Canarias,155,22/5/2020
689,Cantabria,209,22/5/2020
690,Castilla La Mancha,2929,22/5/2020
691,Castilla y León,1961,22/5/2020
692,Cataluña,6656,22/5/2020
693,Ceuta,4,22/5/2020
694,C. Valenciana,1389,22/5/2020
695,Extremadura,506,22/5/2020
696,Galicia,609,22/5/2020
697,Madrid,8944,22/5/2020
698,Melilla,2,22/5/2020
699,Murcia,149,22/5/2020
700,Navarra,508,22/5/2020
701,País Vasco,1487,22/5/2020
702,La Rioja,356,22/5/2020
703,Andalucía,1389,23/5/2020
704,Aragón,858,23/5/2020
705,Asturias,307,23/5/2020
706,Baleares,222,23/5/2020
707,Canarias,157,23/5/2020
708,Cantabria,209,23/5/2020
709,Castilla La Mancha,2934,23/5/2020
710,Castilla y León,1961,23/5/2020
711,Cataluña,6663,23/5/2020
712,Ceuta,4,23/5/2020
713,C. Valenciana,1390,23/5/2020
714,Extremadura,507,23/5/2020
715,Galicia,610,23/5/2020
716,Madrid,8956,23/5/2020
717,Melilla,2,23/5/2020
718,Murcia,149,23/5/2020
719,Navarra,509,23/5/2020
720,País Vasco,1494,23/5/2020
721,La Rioja,357,23/5/2020
722,Andalucía,1391,24/5/2020
723,Aragón,858,24/5/2020
724,Asturias,308,24/5/2020
725,Baleares,222,24/5/2020
726,Canarias,157,24/5/2020
727,Cantabria,209,24/5/2020
728,Castilla La Mancha,2940,24/5/2020
729,Castilla y León,1961,24/5/2020
730,Cataluña,6701,24/5/2020
731,Ceuta,4,24/5/2020
732,C. Valenciana,1393,24/5/2020
733,Extremadura,506,24/5/2020
734,Galicia,613,24/5/2020
735,Madrid,8977,24/5/2020
736,Melilla,2,24/5/2020
737,Murcia,149,24/5/2020
738,Navarra,509,24/5/2020
739,País Vasco,1494,24/5/2020
740,La Rioja,358,24/5/2020
741,Andalucía,1334,25/5/2020
742,Aragón,826,25/5/2020
743,Asturias,288,25/5/2020
744,Baleares,211,25/5/2020
745,Canarias,150,25/5/2020
746,Cantabria,202,25/5/2020
747,Castilla La Mancha,2788,25/5/2020
748,Castilla y León,1913,25/5/2020
749,Cataluña,5575,25/5/2020
750,Ceuta,4,25/5/2020
751,C. Valenciana,1331,25/5/2020
752,Extremadura,506,25/5/2020
753,Galicia,607,25/5/2020
754,Madrid,8686,25/5/2020
755,Melilla,2,25/5/2020
756,Murcia,139,25/5/2020
757,Navarra,490,25/5/2020
758,País Vasco,1424,25/5/2020
759,La Rioja,358,25/5/2020
760,Andalucía,1404,26/5/2020
761,Aragón,826,26/5/2020
762,Asturias,310,26/5/2020
763,Baleares,209,26/5/2020
764,Canarias,150,26/5/2020
765,Cantabria,202,26/5/2020
766,Castilla La Mancha,2945,26/5/2020
767,Castilla y León,1922,26/5/2020
768,Cataluña,5583,26/5/2020
769,Ceuta,5,26/5/2020
770,C. Valenciana,1332,26/5/2020
771,Extremadura,507,26/5/2020
772,Galicia,607,26/5/2020
773,Madrid,8691,26/5/2020
774,Melilla,2,26/5/2020
775,Murcia,148,26/5/2020
776,Navarra,490,26/5/2020
777,País Vasco,1424,26/5/2020
778,La Rioja,360,26/5/2020
779,Andalucía,1404,27/5/2020
780,Aragón,826,27/5/2020
781,Asturias,310,27/5/2020
782,Baleares,209,27/5/2020
783,Canarias,151,27/5/2020
784,Cantabria,202,27/5/2020
785,Castilla La Mancha,2945,27/5/2020
786,Castilla y León,1922,27/5/2020
787,Cataluña,5583,27/5/2020
788,Ceuta,4,27/5/2020
