"","Fecha","Provincia","Isla","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"370","07/05/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"371","07/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"372","07/06/2020","Santa Cruz de Tenerife","Tenerife",30,2,0
"373","07/06/2020","Las Palmas","Gran Canaria",3,1,0
"374","07/06/2020","Las Palmas","Fuerteventura",0,0,0
"375","07/06/2020","Las Palmas","Lanzarote",2,0,0
"376","07/06/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"377","07/06/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"378","07/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"379","07/07/2020","Santa Cruz de Tenerife","Tenerife",16,0,0
"380","07/07/2020","Las Palmas","Gran Canaria",1,1,0
"381","07/07/2020","Las Palmas","Fuerteventura",0,0,0
"382","07/07/2020","Las Palmas","Lanzarote",0,0,0
"383","07/07/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"384","07/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"385","07/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"386","07/08/2020","Santa Cruz de Tenerife","Tenerife",29,2,0
"387","07/08/2020","Las Palmas","Gran Canaria",5,0,0
"388","07/08/2020","Las Palmas","Fuerteventura",1,0,0
"389","07/08/2020","Las Palmas","Lanzarote",0,0,0
"390","07/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"391","07/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"392","07/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"393","07/09/2020","Santa Cruz de Tenerife","Tenerife",48,14,0
"394","07/09/2020","Las Palmas","Gran Canaria",135,38,0
"395","07/09/2020","Las Palmas","Fuerteventura",6,2,0
"396","07/09/2020","Las Palmas","Lanzarote",17,0,0
"397","07/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"398","07/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"399","07/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"400","07/10/2020","Santa Cruz de Tenerife","Tenerife",90,24,0
"401","07/10/2020","Las Palmas","Gran Canaria",103,37,0
"402","07/10/2020","Las Palmas","Fuerteventura",4,2,0
"403","07/10/2020","Las Palmas","Lanzarote",4,2,0
