fecha,provincia,total_dosis_administradas,personas_con_2_dosis
19/04/2021,Huelva,140220,37631
19/04/2021,Jaén,192039,56000
19/04/2021,Málaga,403933,106216
19/04/2021,Sevilla,507336,139173
20/04/2021,Almería,185574,49263
20/04/2021,Cádiz,326076,84747
20/04/2021,Córdoba,256862,76524
20/04/2021,Granada,275105,76032
20/04/2021,Huelva,143684,39219
20/04/2021,Jaén,197903,58121
20/04/2021,Málaga,416701,111517
20/04/2021,Sevilla,523523,146388
21/04/2021,Almería,189703,50045
21/04/2021,Cádiz,335422,88460
21/04/2021,Córdoba,262286,78767
21/04/2021,Granada,285312,79494
21/04/2021,Huelva,148394,40935
21/04/2021,Jaén,205622,62319
21/04/2021,Málaga,430623,117631
21/04/2021,Sevilla,534819,151765
22/04/2021,Almería,193123,49850
22/04/2021,Cádiz,345617,90222
22/04/2021,Córdoba,269304,80448
22/04/2021,Granada,294291,82331
22/04/2021,Huelva,153410,41142
22/04/2021,Jaén,212227,63391
22/04/2021,Málaga,443105,118835
22/04/2021,Sevilla,551580,155192
23/04/2021,Almería,196157,50193
23/04/2021,Cádiz,353046,91743
23/04/2021,Córdoba,276993,82213
23/04/2021,Granada,301489,85196
23/04/2021,Huelva,157223,41706
23/04/2021,Jaén,218429,63917
23/04/2021,Málaga,452753,120441
23/04/2021,Sevilla,564977,156963
24/04/2021,Almería,197389,50951
24/04/2021,Cádiz,354804,92502
24/04/2021,Córdoba,280888,82362
24/04/2021,Granada,302215,85452
24/04/2021,Huelva,157642,41708
24/04/2021,Jaén,219888,64411
24/04/2021,Málaga,454489,120610
24/04/2021,Sevilla,568120,159122
25/04/2021,Almería,198389,51330
25/04/2021,Cádiz,355923,92675
25/04/2021,Córdoba,280890,82367
25/04/2021,Granada,302237,85452
25/04/2021,Huelva,157779,41737
25/04/2021,Jaén,219920,64412
25/04/2021,Málaga,454906,120759
25/04/2021,Sevilla,568121,159124
26/04/2021,Almería,202279,55306
26/04/2021,Cádiz,365000,100035
26/04/2021,Córdoba,284484,83987
26/04/2021,Granada,307799,90913
26/04/2021,Huelva,160511,44022
26/04/2021,Jaén,223060,66163
26/04/2021,Málaga,464778,127789
26/04/2021,Sevilla,582701,168837
27/04/2021,Almería,207599,58045
27/04/2021,Cádiz,375322,105687
27/04/2021,Córdoba,289950,87581
27/04/2021,Granada,315520,94401
27/04/2021,Huelva,164971,46855
27/04/2021,Jaén,228417,68703
27/04/2021,Málaga,478808,135676
27/04/2021,Sevilla,601388,176527
28/04/2021,Almería,213425,61131
28/04/2021,Cádiz,387085,113115
28/04/2021,Córdoba,297464,92002
28/04/2021,Granada,325527,100171
28/04/2021,Huelva,169505,49482
28/04/2021,Jaén,234351,71538
28/04/2021,Málaga,494282,144427
28/04/2021,Sevilla,622514,185909
29/04/2021,Almería,124,42
29/04/2021,Cádiz,129,33
29/04/2021,Córdoba,119,37
29/04/2021,Granada,343,98
29/04/2021,Huelva,83,8
29/04/2021,Jaén,143,18
29/04/2021,Málaga,159,26
29/04/2021,Sevilla,323,84
30/04/2021,Almería,226799,161132
30/04/2021,Cádiz,67746,409150
30/04/2021,Córdoba,288356,124170
30/04/2021,Granada,314568,219368
30/04/2021,Huelva,102760,345015
30/04/2021,Jaén,241893,109383
30/04/2021,Málaga,180508,129267
30/04/2021,Sevilla,56855,249707
02/05/2021,Almería,229452,162571
02/05/2021,Cádiz,68969,412629
02/05/2021,Córdoba,290527,125593
02/05/2021,Granada,318599,223389
02/05/2021,Huelva,102797,345671
02/05/2021,Jaén,241928,110041
02/05/2021,Málaga,180685,129444
02/05/2021,Sevilla,56870,250561
03/05/2021,Almería,234146,165191
03/05/2021,Cádiz,71101,421627
03/05/2021,Córdoba,295500,129777
03/05/2021,Granada,321459,224018
03/05/2021,Huelva,105098,349514
03/05/2021,Jaén,244453,111617
03/05/2021,Málaga,183169,130801
03/05/2021,Sevilla,58164,254373
04/05/2021,Almería,239712,168565
04/05/2021,Cádiz,73316,431938
04/05/2021,Córdoba,300645,134960
04/05/2021,Granada,328532,227462
04/05/2021,Huelva,109102,359488
04/05/2021,Jaén,250607,115693
04/05/2021,Málaga,187657,133790
04/05/2021,Sevilla,59994,260314
05/05/2021,Almería,246750,171619
05/05/2021,Cádiz,77771,443350
05/05/2021,Córdoba,306356,140881
05/05/2021,Granada,339071,233518
05/05/2021,Huelva,113760,369948
05/05/2021,Jaén,256044,120930
05/05/2021,Málaga,194002,137987
05/05/2021,Sevilla,62629,266406
06/05/2021,Almería,253300,175844
06/05/2021,Cádiz,80377,456840
06/05/2021,Córdoba,315245,145713
06/05/2021,Granada,349021,238183
06/05/2021,Huelva,119141,382814
06/05/2021,Jaén,263754,126347
06/05/2021,Málaga,200771,141918
06/05/2021,Sevilla,65684,274464
07/05/2021,Almería,258780,178655
07/05/2021,Cádiz,83129,469217
07/05/2021,Córdoba,324169,151639
07/05/2021,Granada,358445,245414
07/05/2021,Huelva,121515,393882
07/05/2021,Jaén,270840,130760
07/05/2021,Málaga,205699,144706
07/05/2021,Sevilla,68021,281464
09/05/2021,Almería,261889,180875
09/05/2021,Cádiz,84069,473221
09/05/2021,Córdoba,327574,152281
09/05/2021,Granada,363631,250317
09/05/2021,Huelva,122208,395303
09/05/2021,Jaén,271968,131115
09/05/2021,Málaga,206420,145413
09/05/2021,Sevilla,68036,281597
10/05/2021,Almería,267445,184399
10/05/2021,Cádiz,86178,486851
10/05/2021,Córdoba,336541,157565
10/05/2021,Granada,367852,252955
10/05/2021,Huelva,123861,400696
10/05/2021,Jaén,276076,132527
10/05/2021,Málaga,209658,147728
10/05/2021,Sevilla,69066,288900
11/05/2021,Almería,273735,189431
11/05/2021,Cádiz,88337,499870
11/05/2021,Córdoba,345312,162506
11/05/2021,Granada,374135,256743
11/05/2021,Huelva,126418,410067
11/05/2021,Jaén,282157,136077
11/05/2021,Málaga,213496,150710
11/05/2021,Sevilla,70324,293670
