,Comunidad,Fecha,Fallecidos
510,Navarra,2020-05-12,493
511,Pais Vasco,2020-05-12,1429
512,La Rioja,2020-05-12,347
513,Andalucia,2020-05-13,1332
514,Aragon,2020-05-13,829
515,Asturias,2020-05-13,307
516,Baleares,2020-05-13,215
517,Canarias,2020-05-13,151
518,Cantabria,2020-05-13,205
519,Castilla La Mancha,2020-05-13,2835
520,Castilla y Leon,2020-05-13,1919
521,Cataluña,2020-05-13,5692
522,Ceuta,2020-05-13,4
523,C.Valenciana,2020-05-13,1341
524,Extremadura,2020-05-13,489
525,Galicia,2020-05-13,597
526,Madrid,2020-05-13,8760
527,Melilla,2020-05-13,2
528,Murcia,2020-05-13,142
529,Navarra,2020-05-13,494
530,Pais Vasco,2020-05-13,1442
531,La Rioja,2020-05-13,348
532,Andalucia,2020-05-14,1336
533,Aragon,2020-05-14,836
534,Asturias,2020-05-14,308
535,Baleares,2020-05-14,216
536,Canarias,2020-05-14,151
537,Cantabria,2020-05-14,205
538,Castilla La Mancha,2020-05-14,2852
539,Castilla y Leon,2020-05-14,1925
540,Cataluña,2020-05-14,5823
541,Ceuta,2020-05-14,4
542,C.Valenciana,2020-05-14,1349
543,Extremadura,2020-05-14,492
544,Galicia,2020-05-14,601
545,Madrid,2020-05-14,8779
546,Melilla,2020-05-14,2
547,Murcia,2020-05-14,142
548,Navarra,2020-05-14,498
549,Pais Vasco,2020-05-14,1454
550,La Rioja,2020-05-14,348
551,Andalucia,2020-05-15,1344
552,Aragon,2020-05-15,837
553,Asturias,2020-05-15,310
554,Baleares,2020-05-15,216
555,Canarias,2020-05-15,151
556,Cantabria,2020-05-15,206
557,Castilla La Mancha,2020-05-15,2870
558,Castilla y Leon,2020-05-15,1930
559,Cataluña,2020-05-15,5882
560,Ceuta,2020-05-15,4
561,C.Valenciana,2020-05-15,1358
562,Extremadura,2020-05-15,494
563,Galicia,2020-05-15,601
564,Madrid,2020-05-15,8809
565,Melilla,2020-05-15,2
566,Murcia,2020-05-15,143
567,Navarra,2020-05-15,500
568,Pais Vasco,2020-05-15,1454
569,La Rioja,2020-05-15,348
570,Andalucia,2020-05-16,1355
571,Aragon,2020-05-16,838
572,Asturias,2020-05-16,313
573,Baleares,2020-05-16,216
574,Canarias,2020-05-16,151
575,Cantabria,2020-05-16,206
576,Castilla La Mancha,2020-05-16,2883
577,Castilla y Leon,2020-05-16,1940
578,Cataluña,2020-05-16,5915
579,Ceuta,2020-05-16,4
580,C.Valenciana,2020-05-16,1365
581,Extremadura,2020-05-16,497
582,Galicia,2020-05-16,604
583,Madrid,2020-05-16,8826
584,Melilla,2020-05-16,2
585,Murcia,2020-05-16,144
586,Navarra,2020-05-16,501
587,Pais Vasco,2020-05-16,1455
588,La Rioja,2020-05-16,348
589,Andalucia,2020-05-17,1358
590,Aragon,2020-05-17,838
591,Asturias,2020-05-17,315
592,Baleares,2020-05-17,218
593,Canarias,2020-05-17,151
594,Cantabria,2020-05-17,207
595,Castilla La Mancha,2020-05-17,2893
596,Castilla y Leon,2020-05-17,1946
597,Cataluña,2020-05-17,5944
598,Ceuta,2020-05-17,4
599,C.Valenciana,2020-05-17,1366
600,Extremadura,2020-05-17,500
601,Galicia,2020-05-17,606
602,Madrid,2020-05-17,8847
603,Melilla,2020-05-17,2
604,Murcia,2020-05-17,144
605,Navarra,2020-05-17,503
606,Pais Vasco,2020-05-17,1459
607,La Rioja,2020-05-17,349
608,Andalucia,2020-05-18,1358
609,Aragon,2020-05-18,838
610,Asturias,2020-05-18,317
611,Baleares,2020-05-18,218
612,Canarias,2020-05-18,153
613,Cantabria,2020-05-18,207
614,Castilla La Mancha,2020-05-18,2898
615,Castilla y Leon,2020-05-18,1953
616,Cataluña,2020-05-18,5956
617,Ceuta,2020-05-18,4
618,C.Valenciana,2020-05-18,1370
619,Extremadura,2020-05-18,500
620,Galicia,2020-05-18,607
621,Madrid,2020-05-18,8863
622,Melilla,2020-05-18,2
623,Murcia,2020-05-18,145
624,Navarra,2020-05-18,503
625,Pais Vasco,2020-05-18,1466
626,La Rioja,2020-05-18,351
627,Andalucia,2020-05-19,1358
