Fecha report,provincia,Hospitalizados,UCI
05/07/2020,Sevilla,4,2
06/07/2020,Almería,8,2
06/07/2020,Cádiz,5,1
06/07/2020,Córdoba,4,2
06/07/2020,Granada,13,3
06/07/2020,Huelva,2,0
06/07/2020,Jaén,0,0
06/07/2020,Málaga,14,0
06/07/2020,Sevilla,4,2
07/07/2020,Almería,8,2
07/07/2020,Cádiz,6,1
07/07/2020,Córdoba,4,2
07/07/2020,Granada,13,3
07/07/2020,Huelva,2,0
07/07/2020,Jaén,0,0
07/07/2020,Málaga,13,0
07/07/2020,Sevilla,3,1
08/07/2020,Almería,8,2
08/07/2020,Cádiz,6,1
08/07/2020,Córdoba,4,2
08/07/2020,Granada,12,2
08/07/2020,Huelva,2,0
08/07/2020,Jaén,0,0
08/07/2020,Málaga,11,0
08/07/2020,Sevilla,3,1
09/07/2020,Almería,8,2
09/07/2020,Cádiz,6,1
09/07/2020,Córdoba,4,2
09/07/2020,Granada,11,2
09/07/2020,Huelva,1,0
09/07/2020,Jaén,0,0
09/07/2020,Málaga,8,0
09/07/2020,Sevilla,4,1
10/07/2020,Almería,8,2
10/07/2020,Cádiz,6,1
10/07/2020,Córdoba,4,2
10/07/2020,Granada,12,2
10/07/2020,Huelva,1,0
10/07/2020,Jaén,0,0
10/07/2020,Málaga,8,0
10/07/2020,Sevilla,3,1
11/07/2020,Almería,5,2
11/07/2020,Cádiz,6,1
11/07/2020,Córdoba,4,2
11/07/2020,Granada,12,2
11/07/2020,Huelva,1,0
11/07/2020,Jaén,0,0
11/07/2020,Málaga,9,0
11/07/2020,Sevilla,3,1
12/07/2020,Almería,8,3
12/07/2020,Cádiz,6,1
12/07/2020,Córdoba,4,2
12/07/2020,Granada,14,2
12/07/2020,Huelva,1,0
12/07/2020,Jaén,0,0
12/07/2020,Málaga,8,0
12/07/2020,Sevilla,3,1
13/07/2020,Almería,8,3
13/07/2020,Cádiz,6,1
13/07/2020,Córdoba,4,2
13/07/2020,Granada,13,2
13/07/2020,Huelva,1,0
13/07/2020,Jaén,0,0
13/07/2020,Málaga,9,0
13/07/2020,Sevilla,3,1
14/07/2020,Almería,8,3
14/07/2020,Cádiz,6,1
14/07/2020,Córdoba,5,2
14/07/2020,Granada,13,1
14/07/2020,Huelva,1,0
14/07/2020,Jaén,0,0
14/07/2020,Málaga,9,0
14/07/2020,Sevilla,3,1
15/07/2020,Almería,6,3
15/07/2020,Cádiz,5,1
15/07/2020,Córdoba,4,2
15/07/2020,Granada,10,2
15/07/2020,Huelva,1,0
15/07/2020,Jaén,1,0
15/07/2020,Málaga,10,0
15/07/2020,Sevilla,2,1
16/07/2020,Almería,6,3
16/07/2020,Cádiz,5,0
16/07/2020,Córdoba,4,2
16/07/2020,Granada,10,2
16/07/2020,Huelva,1,0
16/07/2020,Jaén,1,0
16/07/2020,Málaga,4,0
16/07/2020,Sevilla,2,1
17/07/2020,Almería,4,2
17/07/2020,Cádiz,6,0
